product,heinemann_price,currency,size,type,cheapest_store,cheapest_price
Rabanne Million Gold Elixir Parfum Intense 50 ml,84.99,EUR,50,NA,Heinemann,84.99
Rabanne 1Million Duo,119.99,EUR,NA,NA,Heinemann,119.99
Rabanne Phantom Elixir Parfum Intense 100 ml,114.99,EUR,100,NA,Heinemann,114.99
Paco Rabanne Invictus Aqua Eau de Toilette 100 ml,69.99,EUR,100,EDT,Heinemann,69.99
Rabanne Paco Rosé Eau de Toilette 100 ml,19.99,EUR,100,EDT,Heinemann,19.99
Rabanne Paco Rosé Eau de Toilette 100 ml,19.99,EUR,100,EDT,Heinemann,19.99
Rabanne Pure XS Eau de Toilette 50 ml,39.99,EUR,50,EDT,Heinemann,39.99
Carolina Herrera 212 VIP Black Eau de Parfum 100 ml,99.99,EUR,100,EDP,Heinemann,99.99
Carolina Herrera 212 Eau de Toilette 100 ml,114.99,EUR,100,EDT,Heinemann,114.99
"Chupa Chups set with 4 strawberry lollies, 4 marker pens and 1 colouring book - Hello Kitty",6.99,EUR,NA,NA,Heinemann,6.99
Carolina Herrera 212 Sexy Men Eau de Toilette 100 ml,49.99,EUR,100,EDT,Heinemann,49.99
Carolina Herrera Good Girl Blush Elixir Eau de Parfum Intense 80 ml,139.99,EUR,80,EDP,Heinemann,139.99
Carolina Herrera Good Girl Jasmine Absolute Eau de Parfum 80 ml,129.99,EUR,80,EDP,Heinemann,129.99
Carolina Herrera Good Girl Blush Eau de Parfum 50 ml,109.99,EUR,50,EDP,Heinemann,109.99
Carolina Herrera Good Girl Blush Elixir Eau de Parfum Intense 80 ml,139.99,EUR,80,EDP,Heinemann,139.99
Carolina Herrera La Bomba Set,129.99,EUR,NA,NA,Heinemann,129.99
Davidoff Parfums Indigo Male Eau de Toilette 60 ml,19.99,EUR,60,EDT,Heinemann,19.99
Davidoff Parfums Indigo Male Eau de Toilette 60 ml,19.99,EUR,60,EDT,Heinemann,19.99
Lancôme La vie est belle Set,94.99,EUR,NA,NA,Heinemann,94.99
Leschanz Organic Dark Chocolate,13.99,EUR,NA,NA,Heinemann,13.99
Set of paprika with doll head,12.99,EUR,NA,NA,Heinemann,12.99
Gucci Guilty pour Femme Set,159.99,EUR,NA,NA,Heinemann,159.99
Gucci Bloom Eau de Parfum 100 ml,94.99,EUR,100,EDP,Heinemann,94.99
Gucci Flora Gorgeous Gardenia Eau de Parfum 10 ml,29.99,EUR,10,EDP,Heinemann,29.99
Gucci Flora Gorgeous Gardenia Eau de Parfum 10 ml,29.99,EUR,10,EDP,Heinemann,29.99
Gucci Flora Gorgeous Orchid Eau de Parfum 10 ml,27.99,EUR,10,EDP,Heinemann,27.99
Gucci Flora Gorgeous Gardenia Eau de Parfum Intense 100 ml,139.99,EUR,100,EDP,Heinemann,139.99
Gucci Flora Gorgeous Gardenia Eau de Parfum Intense 100 ml,139.99,EUR,100,EDP,Heinemann,139.99
